speaker,line,words
SCULLY,Did Boggs confess?,3
MULDER,"No, no, just five hours of Boggs' channeling. After three hours, I asked him to summon up the soul of Jimi Hendrix and requested ""All Along the Watchtower."" You know the guy's been dead for twenty years and he still hasn't lost his edge.",44
SCULLY,I lied to the police about how I found the warehouse. I didn't notice any suspicious activities.,17
MULDER,Then how did you find it?,6
SCULLY,It was where Boggs said it would be.,8
MULDER,"Scully, I told you about Boggs...",6
SCULLY,I didn't go looking for it! I came across an area that had landmarks he spoke of...,17
MULDER,That doesn't matter! That's exactly what Boggs wanted! He could have been setting you up! You could be dead right now! Why did you lie in your police report?,29
SCULLY,I thought it would be a better explanation under the circumstances.,11
MULDER,"What you're really saying is that you didn't want to go on record admitting that you believed in Boggs! The bureau would expect something like that from ""Spooky"" Mulder, but not Dana Scully.",33
SCULLY,I thought that you'd be pleased that I opened myself to extreme possibilities.,13
MULDER,"Why now? After all we've seen, why Boggs? Does this have to do with your father? You said that he didn't approve of you becoming an FBI agent. Now, if being on the job now makes you feel guilty or uncomfortable or uneasy, I think you should back away because if it's clouding your judgement, you're putting yourself in danger.",60
SCULLY,I love this job.,4
MULDER,"You love your father. Dana... open yourself up to extreme possibilities only when they're the truth. That goes for Luther Boggs... and your father. As for Luther Boggs, he's the greatest of lies. I know he's working with someone on the outside and they planted that evidence. Now, we have to be very careful about planning our next move because he's five steps ahead. The one advantage we have is time.",71
MULDER,"Scully, look at this.",4
SCULLY,Incredible! They found them?,4
MULDER,That's exactly what I want Boggs to think.,8
SCULLY,"I don't understand, why didn't the police notify us?",9
MULDER,"They haven't been found, the article is bogus. The Carolinian made this one up just for us, only six people know about it. Later on today, Boggs gets his weekly phone priviliges. Hopefully, he'll call his accomplice to find out what happened. Phone privilige is in two hours.",48
SCULLY,Go.,1
MULDER,Turn off that phone. Turn it off.,7
SCULLY,"Mulder, it's you.",3
MULDER,Mulder.,1
BOGGS,How come you don't believe me? Agent Scully believes me.,10
MULDER,Agent Scully believes what we all believe. That you have the kids. Now where are they?,16
SCULLY,"Mulder... even if he is setting us up, we have to follow because in three days...",16
MULDER,Liz Hawley and Jim Summers will be dead.,8
SCULLY,"And then a day later, our only connection to the case will be pulling up a chair at the gas chamber. We have to deal.",25
BOGGS,The kidnapper is aroused by the prospect of becoming a killer.,11
MULDER,What's the name?,3
BOGGS,Can't see... male...,3
MULDER,Describe him.,2
BOGGS,"Small... thin... late twenties... skull... Human skull... Silver gray... his eyes, cold, very cold... Staring at Elizabeth... God, he's got the wire... No... please, no...",25
MULDER,Where is he?,3
BOGGS,He's over... over... by the window... Holding back... holding back his thoughts of killing us... waiting... there's a small boathouse on Lake Jordan.,23
MULDER,Did you get that?,4
BOGGS,Mulder... Don't go near the white cross. We see you down... and your blood spills on the white cross.,19
ELIZABETH,"No, no, no, no, no more...",6
AGENT,Do you see anything?,4
2ND AGENT,Negative.,1
SCULLY,Sweep the docks!,3
MULDER,Federal agent!,2
SCULLY,Mulder!,1
AGENT,"Get in there, now!",4
SCULLY,We need an ambulance... officer down!,6
PARAMEDIC,What do we got?,4
DOCTOR,Through and through upper femur...,5
NURSE,Can't palpate a radial pulse...,5
DOCTOR,"Okay, I want a B.P. on this stat... get him on the gurney.",13
PARAMEDIC,"One, two, three...",3
NURSE,Blood pressure is 67 on palpatation.,6
DOCTOR,"Okay, tighten him and screen him for six, I want two liters of normal saline in him now and give him two units of o-neg after the typing. Let's transfer now.",31
ELIZABETH,No. No. No.,3
MAN,"Lucas Jackson Henry, 28. Did some time at Angola in Louisiana for sexual assault, narcotics, nothing big, really. His personal history includes being witness to an auto accident in which his high school sweetheart was killed and his mother was decaptiated. The seven year anniversary of that accident is in three days.",52
SCULLY,He's reliving it. That would explain the deadline.,8
MAN,"The most important element we found is that there's substantial suspicion that Luther Lee Boggs' last five murders were commited with a partner. Now, the police up in Durham say they could never prove it in court but they know that partner was Lucas Henry.",45
SCULLY,"You set us up. You're in on this with Lucas Henry. This was a trap for Mulder because he helped put you away. Well, I came here to tell you that if he dies because of what you've done, four days from now, no one will be able to stop me from being the one that will throw the switch and gas you out of this life for good, you son of a bitch!",74
BOGGS,Dana... You're the one that believed me!,7
SCULLY,"No! No, I do not believe you!",7
BOGGS,"If you don't believe me, maybe you'll believe yourself. There was that one time when I was fourteen and my parents had gone to bed and I snuck downstairs all alone. Got one of my mom's cigarettes and went out onto the porch in the dark. I was so scared. My heart was beating, I mean, they would have killed me if they knew. But I was so excited. Not ‘cause of the cigarette, I mean, it was gross, but because I wasn't supposed to.",85
SCULLY,That could be a moment from any kid's life.,9
BOGGS,I know what you want. And I know who you want to talk to. Why don't you just go ahead and ask me?,23
SCULLY,I'll believe you... if you let... me talk to him.,10
BOGGS,"Starbuck... No, no, no! Nobody talks to anybody until I get a deal! Don't underestimate my fear of dying and don't downplay my terror of going back to that chair. I know my hell's going to be to go on back to that chair over and over again but in this life, my one and only life, I don't ever want to go back again! Ever! The last time I went to death's door and looked inside... I had never talked to a minister before in my life ever until that day and he said, ""He who doth not love remains in death and he who hates his brother is a murderer..."" ""And no murderer has eternal life abiding in him."" My family, who I killed after their last meal, was right there to watch me over mine... And their fear and their horror that I made them feel when I killed them was injected into me... And their collective fear alone was just one taste of hell. And then I felt myself leave my body. I thought they had already killed me... And I saw thousands of souls rushing into my body. It is a cold, dark place, Scully. Mulder's looking in on it right now.",207
SCULLY,It may be a cold dark place for you but it's not for Mulder and it's not for my father.,20
BOGGS,I'm sure he'd like to tell you hisself but I'm not going to let him. Nobody speaks until you get me a deal.,23
SCULLY,I don't believe you.,4
BOGGS,"Oh well, there's plenty of room in that cold, dark place for liars, Scully. You go ahead and play it like you need to but I know you believe me. But if you need to convince a judge I'm in on it with Lucas, go ahead. ‘Cause either way, whether I'm running the show with Lucas or I'm channeling, no information's coming until I get a deal. Go on, man, I got nothing to lose.",75
SCULLY,Guard!,1
BOGGS,"If I die, that boy goes to that cold, dark place.",11
